Account,date,sentiment_bucket,classification,daily_pnl,n_trades,n_wins,avg_trade_size_usd,total_volume_usd,n_long,win_rate,n_short,long_short_ratio,is_profitable_day
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-24,Neutral,Neutral,0.0,21,0,12000.350952380952,252007.37,21,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-26,Neutral,Neutral,4197.732182,31,21,11748.220645161291,364194.84,21,0.6774193548387096,10,2.1,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-27,Fear,Fear,0.0,12,0,9999.173333333334,119990.08,0,0.0,12,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-29,Fear,Fear,1842.738325,17,13,13148.880588235294,223530.97,5,0.7647058823529411,12,0.4166666666666667,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-30,Neutral,Neutral,0.0,3,0,9999.756666666666,29999.27,3,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-01,Neutral,Neutral,1202.488212,13,9,7476.965384615385,97200.55,11,0.6923076923076923,2,5.5,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,Neutral,Neutral,1118.387284,10,4,10388.008,103880.08,6,0.4,4,1.5,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-04,Fear,Fear,0.0,14,0,18215.87285714286,255022.22,14,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-05,Fear,Fear,0.0,20,0,13514.937,270298.74,20,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-10,Fear,Fear,11595.627026,43,33,15625.97930232558,671917.11,43,0.7674418604651163,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-11,Fear,Fear,1876.812082,19,9,8941.422105263156,169887.02,19,0.47368421052631576,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-12,Fear,Fear,0.0,10,0,7600.664999999999,76006.65,10,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-13,Fear,Fear,2678.839374,13,13,10668.462307692309,138690.01,13,1.0,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-14,Fear,Fear,0.0,7,0,12000.16142857143,84001.13,0,0.0,7,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-15,Neutral,Neutral,0.0,21,0,7999.7071428571435,167993.85,0,0.0,21,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-16,Greed,Greed,0.0,22,0,6545.480454545454,144000.57,0,0.0,22,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-17,Greed,Greed,0.0,9,0,18326.035555555558,164934.32,0,0.0,9,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-18,Greed,Greed,2569.979964,53,41,12119.926603773585,642356.11,12,0.7735849056603774,41,0.2926829268292683,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-19,Greed,Greed,2120.091364,16,11,9132.66875,146122.7,11,0.6875,5,2.2,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-20,Greed,Greed,129.66130099999998,9,4,11097.74111111111,99879.67,5,0.4444444444444444,4,1.25,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-21,Greed,Greed,0.0,3,0,14665.06,43995.18,3,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-22,Greed,Greed,2273.29301,21,13,10728.97,225308.37,13,0.6190476190476191,8,1.625,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-23,Greed,Greed,0.0,2,0,11997.235,23994.47,2,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-24,Greed,Greed,0.0,21,0,1333.8833333333332,28011.55,3,0.0,18,0.16666666666666666,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-25,Greed,Greed,0.0,65,0,7990.4683076923075,519380.44,65,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-26,Greed,Greed,0.0,10,0,15000.965,150009.65,10,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-27,Greed,Greed,6400.623656,52,42,17322.249807692308,900756.99,51,0.8076923076923077,1,51.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-28,Greed,Greed,0.0,3,0,10666.563333333334,31999.690000000002,3,0.0,0,,False
